"Estimate"	"StdError"	"tvalue"	"Pr"	"asv"	"Class"	"Order"	"Family"
-3.05987323000289	NA	NA	NA	"ASV1174"	"Gracilibacteria"	"Absconditabacteriales (SR1)"	"Absconditabacteriales (SR1)"
-3.06024170449333	18534.8434411592	"-0.000165107502213783"	"0.999869356316927"	"ASV1180"	"Bacilli"	"Izemoplasmatales"	"Izemoplasmatales"
-3.06024170449333	18534.8434411592	"-0.000165107502213783"	"0.999869356316927"	"ASV1184"	"Cyanobacteriia"	"Leptolyngbyales"	"Leptolyngbyaceae"
-3.06024170449333	18534.8434411592	"-0.000165107502213783"	"0.999869356316927"	"ASV1191"	"Phycisphaerae"	"mle1-8"	"mle1-8"
-3.06024170449333	18534.8434411592	"-0.000165107502213783"	"0.999869356316927"	"ASV1201"	"Vampirivibrionia"	"Obscuribacterales"	"Obscuribacteraceae"
-2.99346829641126	NA	NA	NA	"ASV1297"	"Vampirivibrionia"	"Vampirovibrionales"	"Vampirovibrionales"
-2.99346829641126	NA	NA	NA	"ASV1300"	"Latescibacterota"	"Latescibacterota"	"Latescibacterota"
-2.99346829641126	NA	NA	NA	"ASV1307"	"Bacilli"	"Bacilli"	"Bacilli"
-2.99346829641126	NA	NA	NA	"ASV1314"	"Sericytochromatia"	"Sericytochromatia"	"Sericytochromatia"
-2.99346829641126	NA	NA	NA	"ASV1315"	"Desulfuromonadia"	"Bradymonadales"	"Bradymonadales"
-2.99346829641126	NA	NA	NA	"ASV1317"	"Deinococci"	"Deinococcales"	"Trueperaceae"
-2.99346829641126	NA	NA	NA	"ASV1318"	"Gammaproteobacteria"	"Ectothiorhodospirales"	"Ectothiorhodospiraceae"
