	Kingdom	Phylum	Class	Order	Family	Genus
ASV1275	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	JGI 0000069-P22	JGI 0000069-P22
ASV1276	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriales	Flavobacteriales
ASV1277	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales	Bacteroidales
ASV1278	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae
ASV1279	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190
ASV1280	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagales	Chitinophagales
ASV1281	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Geminobacterium
ASV1282	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
ASV1283	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	MD3-55
ASV1284	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrionaceae
ASV1285	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV1286	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria
ASV1287	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
ASV1288	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacterales	Campylobacterales
ASV1289	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales	Woesearchaeales
ASV1290	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	OM60(NOR5) clade
ASV1291	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Hydrogenophilus
ASV1292	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria
ASV1293	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	Terasakiella
ASV1294	Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Paraholospora
ASV1295	Bacteria	Pseudomonadota	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella
ASV1296	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexaceae
ASV1297	Bacteria	Cyanobacteriota	Vampirivibrionia	Vampirovibrionales	Vampirovibrionales	Vampirovibrionales
ASV1298	Bacteria	Pseudomonadota	Gammaproteobacteria	Francisellales	Francisellaceae	Francisellaceae
ASV1299	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Pelagicoccus
ASV1300	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota
ASV1301	Bacteria	Myxococcota	Myxococcota	Myxococcota	Myxococcota	Myxococcota
ASV1302	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria
ASV1303	Bacteria	Pseudomonadota	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria
ASV1304	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae
ASV1305	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaeraceae
ASV1306	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospiraceae
ASV1307	Bacteria	Bacillota	Bacilli	Bacilli	Bacilli	Bacilli
